Startdatum,Starttid,Slutdatum,Sluttid,Aktivitet,Grupp,Tillfälleskod/kurskod,Lokal,Info,Personal,Program/klass 
2018-11-09,11:00,2018-11-09,12:00,Övning,,ME1010,,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-11-09,13:00,2018-11-09,14:00,Övning,,ME1010,,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-11-09,14:00,2018-11-09,15:00,Övning,,ME1010,,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-11-09,15:00,2018-11-09,17:00,Datorlaboration,DD1351 Helklass,DD1351,"4V5Grö (Grön), 5O1Spe (Spelhallen), 5O2Spo (Sporthallen), 5V1Grå (Grå), 5V2Kar (Karmosin), 5V3Vit (Vit), 5V4Mag (Magenta)",,"Alf Thomas Sjöland, Johan Karlander","CDATE2, CINTE2, CINTE3"
2018-11-12,08:00,2018-11-12,10:00,Övning,"IS1500 grupp A, IS1500 grupp B",IS1500,"V32, V34",,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-11-12,13:00,2018-11-12,15:00,Föreläsning,DD1351 Helklass,DD1351,M1,,Johan Karlander,"CDATE2, CINTE2, CINTE3"
2018-11-12,15:00,2018-11-12,17:00,Övning,"IS1500 grupp C, IS1500 grupp D",IS1500,"Q33, Q34",,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-11-13,10:00,2018-11-13,12:00,Föreläsning,DD1351 Helklass,DD1351,D1,,Johan Karlander,"CDATE2, CINTE2, CINTE3"
2018-11-13,13:00,2018-11-13,17:00,Laboration,DD1368 Helklass,DD1368,"4V5Grö (Grön), 5O1Spe (Spelhallen), 5O2Spo (Sporthallen), 5V2Kar (Karmosin)",,,"CDATE2, CLGYM3-TIKT"
2018-11-13,13:00,2018-11-13,17:00,Laboration,,IS1500,4V6Bru (Brun),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-11-14,08:00,2018-11-14,17:00,Seminarium,,"DD1390, DD1390, DD1390, DD1391, DD1391","1625, 4523, 523, F0, Interaktionsdesignstudion",,"Christian Smith, Dena Hussain, Douglas Wikström, Johan Karlander, Mads Dam, Marcus Dicander, Mårten Björkman, Olof Bälter, Stefan Nilsson, Viggo Kann, Örjan Ekeberg","CDATE1, CDATE2, CDATE3, CDATE3-STEK"
2018-11-14,13:00,2018-11-14,17:00,Laboration,,IS1500,5O1Spe (Spelhallen),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-11-15,08:00,2018-11-15,12:00,Laboration,DD1368 Helklass,DD1368,"4V2Röd (Röd), 4V4Gul (Gul), 5O1Spe (Spelhallen)",,,CDATE2
2018-11-15,10:00,2018-11-15,12:00,Övning,"IS1500 grupp A, IS1500 grupp B",IS1500,"V32, V34",,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-11-15,13:00,2018-11-15,15:00,Föreläsning,,ME1010,Q1,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
